filename;NORMAL_cmax;NORMAL_duration;GREEDY_cmax;GREEDY_duration;REHEAT_cmax;REHEAT_duration;BOTH_cmax;BOTH_duration
ta01; 1441.5; 32.3 ;  1414.0; 974.4  ;  1438.6; 36.7 ;  1414.0; 473.8
ta05; 1340.1; 31.2 ;  1314.0; 129.9  ;  1337.2; 33.6 ;  1314.0; 37.2
ta10; 1305.3; 30.6 ;  1275.0; 182.4  ;  1303.1; 31.8 ;  1275.0; 128.1
ta15; 1619.5; 42.1 ;  1567.6; 1812.1 ;  1604.5; 43.2 ;  1567.0; 1355.4
ta20; 1589.1; 43.5 ;  1548.2; 1817.8 ;  1575.7; 43.9 ;  1547.8; 1352.1
ta25; 2134.4; 57.3 ;  2076.0; 1305.3 ;  2118.2; 65.6 ;  2076.0; 911.0
ta30; 2208.8; 28.4 ;  2165.1; 2424.6 ;  2204.3; 57.0 ;  2163.2; 2439.0
ta35; 2263.5; 70.9 ;  2159.1; 5352.0 ;  2251.5; 69.5 ;  2155.9; 4259.8
ta40; 2185.7; 71.2 ;  2103.3; 4176.9 ;  2189.6; 69.4 ;  2097.7; 4220.4
ta45; 3056.8; 124.2;  2992.9; 5699.8 ;  3068.6; 92.8 ;  2986.7; 5680.6
ta50; 3093.6; 89.9 ;  2988.9; 4428.1 ;  3083.1; 90.4 ;  2983.1; 4397.4
ta55; 3368.3; 130.1;  3232.9; 12920.9;  3369.0; 129.3;  3225.3; 13013.8
ta60; 3508.2; 133.0;  3372.7; 12925.1;  3527.8; 129.5;  3371.3; 12992.3
ta65; 4580.9; 168.6;  4424.9; 17442.9;  4577.3; 173.7;  4418.8; 17428.9
ta70; 4706.0; 190.1;  4566.3; 13296.5;  4695.5; 176.6;  4555.7; 17135.6
ta75; 8659.5; 437.2;  8306.0; 83631.2;  8690.3; 433.6;  8314.9; 83785.9
