InitialTemp;FinalTemp;MaxIters;Version;NeighSize;Mean_Cmax;Mean_Duration_ms
1000.0;0.001;4000;BOTH;10;2207.2;34.5
1000.0;0.001;4000;BOTH;20;2190.7;63.4
1000.0;0.001;4000;BOTH;30;2181.6;87.1
1000.0;0.001;4000;BOTH;40;2185.0;126.2
1000.0;0.001;4000;GREEDY;10;2214.6;41.4
1000.0;0.001;4000;GREEDY;20;2196.8;73.4
1000.0;0.001;4000;GREEDY;30;2184.6;90.4
1000.0;0.001;4000;GREEDY;40;2185.6;118.1
1000.0;0.001;4000;NORMAL;1;2263.6;3.5
1000.0;0.001;4000;REHEAT;1;2266.2;3.0
1000.0;0.001;20000;BOTH;10;2186.4;175.3
1000.0;0.001;20000;BOTH;20;2179.0;316.5
1000.0;0.001;20000;BOTH;30;2174.0;445.7
1000.0;0.001;20000;BOTH;40;2169.4;599.5
1000.0;0.001;20000;GREEDY;10;2187.8;173.3
1000.0;0.001;20000;GREEDY;20;2184.7;320.8
1000.0;0.001;20000;GREEDY;30;2176.0;464.4
1000.0;0.001;20000;GREEDY;40;2175.4;604.3
1000.0;0.001;20000;NORMAL;1;2233.5;14.0
1000.0;0.001;20000;REHEAT;1;2227.3;14.9
1000.0;0.001;40000;BOTH;10;2179.6;382.8
1000.0;0.001;40000;BOTH;20;2174.8;643.4
1000.0;0.001;40000;BOTH;30;2168.4;894.7
1000.0;0.001;40000;BOTH;40;2167.6;1210.6
1000.0;0.001;40000;GREEDY;10;2188.1;364.4
1000.0;0.001;40000;GREEDY;20;2176.8;644.7
1000.0;0.001;40000;GREEDY;30;2172.3;884.3
1000.0;0.001;40000;GREEDY;40;2166.8;1204.8
1000.0;0.001;40000;NORMAL;1;2208.8;28.4
1000.0;0.001;40000;REHEAT;1;2214.5;28.7
1000.0;0.001;80000;BOTH;10;2180.7;700.3
1000.0;0.001;80000;BOTH;20;2168.7;1287.0
1000.0;0.001;80000;BOTH;30;2164.3;1805.7
1000.0;0.001;80000;BOTH;40;2163.7;2422.5
1000.0;0.001;80000;GREEDY;10;2185.9;732.5
1000.0;0.001;80000;GREEDY;20;2175.6;1293.6
1000.0;0.001;80000;GREEDY;30;2168.9;1834.1
1000.0;0.001;80000;GREEDY;40;2169.1;2467.8
1000.0;0.001;80000;NORMAL;1;2211.5;57.9
1000.0;0.001;80000;REHEAT;1;2204.3;57.0
10000.0;0.001;4000;BOTH;10;2211.3;34.4
10000.0;0.001;4000;BOTH;20;2191.2;68.1
10000.0;0.001;4000;BOTH;30;2186.0;87.7
10000.0;0.001;4000;BOTH;40;2182.7;118.5
10000.0;0.001;4000;GREEDY;10;2217.0;34.6
10000.0;0.001;4000;GREEDY;20;2196.5;65.2
10000.0;0.001;4000;GREEDY;30;2188.2;88.6
10000.0;0.001;4000;GREEDY;40;2178.9;121.1
10000.0;0.001;4000;NORMAL;1;2266.5;3.0
10000.0;0.001;4000;REHEAT;1;2292.6;3.0
10000.0;0.001;20000;BOTH;10;2193.7;176.8
10000.0;0.001;20000;BOTH;20;2183.5;357.6
10000.0;0.001;20000;BOTH;30;2169.0;444.9
10000.0;0.001;20000;BOTH;40;2170.3;600.9
10000.0;0.001;20000;GREEDY;10;2201.4;176.4
10000.0;0.001;20000;GREEDY;20;2181.3;317.1
10000.0;0.001;20000;GREEDY;30;2176.8;445.6
10000.0;0.001;20000;GREEDY;40;2172.3;600.4
10000.0;0.001;20000;NORMAL;1;2224.6;14.7
10000.0;0.001;20000;REHEAT;1;2244.9;14.4
10000.0;0.001;40000;BOTH;10;2192.0;355.4
10000.0;0.001;40000;BOTH;20;2173.2;640.9
10000.0;0.001;40000;BOTH;30;2167.5;893.5
10000.0;0.001;40000;BOTH;40;2168.3;1211.1
10000.0;0.001;40000;GREEDY;10;2192.9;358.5
10000.0;0.001;40000;GREEDY;20;2178.1;635.9
10000.0;0.001;40000;GREEDY;30;2172.4;914.1
10000.0;0.001;40000;GREEDY;40;2169.6;1205.8
10000.0;0.001;40000;NORMAL;1;2223.7;29.0
10000.0;0.001;40000;REHEAT;1;2227.8;29.6
10000.0;0.001;80000;BOTH;10;2185.9;708.3
10000.0;0.001;80000;BOTH;20;2168.5;1306.6
10000.0;0.001;80000;BOTH;30;2166.0;1773.8
10000.0;0.001;80000;BOTH;40;2163.2;2439.0
10000.0;0.001;80000;GREEDY;10;2186.4;709.2
10000.0;0.001;80000;GREEDY;20;2174.3;1312.3
10000.0;0.001;80000;GREEDY;30;2168.5;1782.8
10000.0;0.001;80000;GREEDY;40;2165.1;2424.6
10000.0;0.001;80000;NORMAL;1;2223.3;57.9
10000.0;0.001;80000;REHEAT;1;2225.1;60.2
100000.0;0.001;4000;BOTH;10;2214.7;34.3
100000.0;0.001;4000;BOTH;20;2187.4;65.1
100000.0;0.001;4000;BOTH;30;2178.0;86.7
100000.0;0.001;4000;BOTH;40;2177.8;120.7
100000.0;0.001;4000;GREEDY;10;2215.2;35.1
100000.0;0.001;4000;GREEDY;20;2196.3;62.3
100000.0;0.001;4000;GREEDY;30;2182.1;87.6
100000.0;0.001;4000;GREEDY;40;2184.0;118.2
100000.0;0.001;4000;NORMAL;1;2284.3;2.9
100000.0;0.001;4000;REHEAT;1;2258.0;3.2
100000.0;0.001;20000;BOTH;10;2202.6;175.1
100000.0;0.001;20000;BOTH;20;2176.7;344.1
100000.0;0.001;20000;BOTH;30;2172.1;439.3
100000.0;0.001;20000;BOTH;40;2167.3;599.2
100000.0;0.001;20000;GREEDY;10;2197.8;189.8
100000.0;0.001;20000;GREEDY;20;2185.3;326.0
100000.0;0.001;20000;GREEDY;30;2175.0;450.9
100000.0;0.001;20000;GREEDY;40;2169.7;603.2
100000.0;0.001;20000;NORMAL;1;2231.6;14.6
100000.0;0.001;20000;REHEAT;1;2241.8;14.0
100000.0;0.001;40000;BOTH;10;2191.5;377.4
100000.0;0.001;40000;BOTH;20;2174.1;637.0
100000.0;0.001;40000;BOTH;30;2166.3;893.0
100000.0;0.001;40000;BOTH;40;2164.6;1253.7
100000.0;0.001;40000;GREEDY;10;2199.6;370.1
100000.0;0.001;40000;GREEDY;20;2173.2;636.6
100000.0;0.001;40000;GREEDY;30;2170.1;887.6
100000.0;0.001;40000;GREEDY;40;2170.5;1233.3
100000.0;0.001;40000;NORMAL;1;2221.0;32.2
100000.0;0.001;40000;REHEAT;1;2255.0;48.6
100000.0;0.001;80000;BOTH;10;2182.9;716.1
100000.0;0.001;80000;BOTH;20;2169.6;1278.1
100000.0;0.001;80000;BOTH;30;2166.2;1804.6
100000.0;0.001;80000;BOTH;40;2163.7;2419.6
100000.0;0.001;80000;GREEDY;10;2183.3;702.4
100000.0;0.001;80000;GREEDY;20;2170.5;1282.9
100000.0;0.001;80000;GREEDY;30;2167.8;1818.8
100000.0;0.001;80000;GREEDY;40;2166.5;2477.5
100000.0;0.001;80000;NORMAL;1;2219.8;57.8
100000.0;0.001;80000;REHEAT;1;2219.7;58.4
1000000.0;0.001;4000;BOTH;10;2219.7;36.6
1000000.0;0.001;4000;BOTH;20;2196.1;64.6
1000000.0;0.001;4000;BOTH;30;2186.0;88.1
1000000.0;0.001;4000;BOTH;40;2179.4;118.4
1000000.0;0.001;4000;GREEDY;10;2220.5;35.4
1000000.0;0.001;4000;GREEDY;20;2194.7;62.7
1000000.0;0.001;4000;GREEDY;30;2191.2;88.0
1000000.0;0.001;4000;GREEDY;40;2182.6;118.7
1000000.0;0.001;4000;NORMAL;1;2281.3;3.1
1000000.0;0.001;4000;REHEAT;1;2363.8;3.0
1000000.0;0.001;20000;BOTH;10;2205.4;176.6
1000000.0;0.001;20000;BOTH;20;2180.4;316.7
1000000.0;0.001;20000;BOTH;30;2171.8;444.0
1000000.0;0.001;20000;BOTH;40;2169.5;629.7
1000000.0;0.001;20000;GREEDY;10;2201.0;185.2
1000000.0;0.001;20000;GREEDY;20;2182.1;348.2
1000000.0;0.001;20000;GREEDY;30;2173.8;444.9
1000000.0;0.001;20000;GREEDY;40;2170.0;621.8
1000000.0;0.001;20000;NORMAL;1;2248.4;14.1
1000000.0;0.001;20000;REHEAT;1;2290.7;15.3
1000000.0;0.001;40000;BOTH;10;2198.2;358.9
1000000.0;0.001;40000;BOTH;20;2171.7;641.9
1000000.0;0.001;40000;BOTH;30;2167.5;916.6
1000000.0;0.001;40000;BOTH;40;2166.8;1200.8
1000000.0;0.001;40000;GREEDY;10;2189.0;347.9
1000000.0;0.001;40000;GREEDY;20;2175.3;652.9
1000000.0;0.001;40000;GREEDY;30;2169.2;901.9
1000000.0;0.001;40000;GREEDY;40;2166.2;1193.4
1000000.0;0.001;40000;NORMAL;1;2242.6;29.1
1000000.0;0.001;40000;REHEAT;1;2297.0;30.2
1000000.0;0.001;80000;BOTH;10;2193.3;720.1
1000000.0;0.001;80000;BOTH;20;2173.0;1273.6
1000000.0;0.001;80000;BOTH;30;2165.6;1802.2
1000000.0;0.001;80000;BOTH;40;2163.9;2393.5
1000000.0;0.001;80000;GREEDY;10;2184.1;701.0
1000000.0;0.001;80000;GREEDY;20;2173.1;1307.3
1000000.0;0.001;80000;GREEDY;30;2166.6;1783.4
1000000.0;0.001;80000;GREEDY;40;2166.0;2416.1
1000000.0;0.001;80000;NORMAL;1;2212.2;57.9
1000000.0;0.001;80000;REHEAT;1;2242.4;58.1
